Name,general_data_name,model_representation_fn_path,model_composition_fn_path,general_train_rule,general_date,train_valid_loss,train_test_accuracy,train_loss,train_test_loss,train_accuracy,train_valid_accuracy
supervised/supervised_logic_complete_114,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_19,2020-01-29 13:45,0.015655145165510476,0.7904431521892548,0.010796806821599603,1.073325276374817,0.9978515625,0.99609375
supervised/supervised_logic_complete_188,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_31,2020-01-29 14:42,0.14603322371840477,0.7887257486581802,0.05270939189940691,1.2137804627418518,0.988499540090561,0.966763198375702
supervised/supervised_logic_complete_186,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_31,2020-01-29 14:41,0.09460265375673772,0.7882206290960312,0.03831902984529734,1.384612649679184,0.9908892452716828,0.9779094755649568
supervised/supervised_logic_complete_211,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_35,2020-01-29 14:57,0.09401528351008892,0.7816540896892548,0.027176208887249233,0.8331727683544159,0.9951171875,0.9730266630649568
supervised/supervised_logic_complete_115,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_19,2020-01-29 13:45,0.006825549528002739,0.7766702622175217,0.006854676257353276,1.1504653692245483,0.9984375,0.9979458451271056
supervised/supervised_logic_complete_116,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_19,2020-01-29 13:45,0.011995631735771894,0.7738415896892548,0.0121296081924811,1.239401936531067,0.99765625,0.998046875
supervised/supervised_logic_complete_279,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_46,2020-01-29 15:37,0.5109923779964447,0.7731681019067764,0.11870584599673747,0.8898896127939224,0.9727022051811218,0.8436152935028076
supervised/supervised_logic_complete_291,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_48,2020-01-29 15:44,0.19695834070444107,0.7721915394067764,0.05266042174771428,1.5229309499263763,0.985546875,0.9519127160310744
supervised/supervised_logic_complete_72,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_12,2020-01-29 14:14,0.05263539217412472,0.7714170217514038,0.027981121093034744,1.1654677987098694,0.9927734375,0.9808391630649568
supervised/supervised_logic_complete_187,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_31,2020-01-29 14:42,0.07605471182614565,0.7704404592514038,0.022380958404392005,1.4916695058345797,0.994358915090561,0.9788860380649568
supervised/supervised_logic_complete_207,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_34,2020-01-29 14:51,0.18757339194417,0.7677128165960312,0.03876911327242851,1.326360672712326,0.9892807900905608,0.9399919211864473
supervised/supervised_logic_complete_293,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_48,2020-01-29 16:15,0.2585080675780773,0.7627289891242981,0.04271139204502106,2.5331664085388184,0.9859375,0.9431236535310744
supervised/supervised_logic_complete_281,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_46,2020-01-29 15:38,0.6450129896402359,0.7624932676553726,0.12374821305274963,1.1026631295681,0.9603975176811218,0.8447939157485962
supervised/supervised_logic_complete_209,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_34,2020-01-29 14:53,0.271173819899559,0.7623248845338821,0.028177396394312385,2.217662394046783,0.9912339150905608,0.9399919211864473
supervised/supervised_logic_complete_230,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_38,2020-01-29 15:09,0.030797037295997143,0.76171875,0.028462237678468227,1.6058791875839231,0.9927734375,0.9879781752824784
