,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,acc_std,accuracy,comp_fn,epoch,k,loss,minibatch,mode,rep_fn,rule_world,test_rule,top_mode,updates,train_world,test_world
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,E-GAT,1900,0,4.457,15,test,GAT,rule_54,,test,0,easy,novel
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.159,E-GAT,1900,0,5.191,15,test,Param,rule_54,,test,0,easy,novel
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.19399999999999998,E-GAT,1900,0,3.985,15,test,GCN,rule_54,,test,0,easy,novel
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.309,RGCN,1900,0,3.772,15,test,GAT,rule_54,,test,0,easy,novel
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.142,RGCN,1900,0,5.032,15,test,Param,rule_54,,test,0,easy,novel
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.267,RGCN,1900,0,4.739,15,test,GCN,rule_54,,test,0,easy,novel
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,0.0,0.17800000000000002,E-GAT,1900,0,4.7360000000000015,15,test,GAT,rule_55,,test,0,easy,novel
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.0,0.205,E-GAT,1900,0,4.908,15,test,Param,rule_55,,test,0,easy,novel
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0.0,0.208,E-GAT,1900,0,4.522,15,test,GCN,rule_55,,test,0,easy,novel
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,0.0,0.24,RGCN,1900,0,5.074,15,test,GAT,rule_55,,test,0,easy,novel
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,0.0,0.204,RGCN,1900,0,5.017,15,test,Param,rule_55,,test,0,easy,novel
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,0.0,0.194,RGCN,1900,0,8.494,15,test,GCN,rule_55,,test,0,easy,novel
12,12,12.0,12.0,12.0,12.0,12.0,12.0,,,0.0,0.22899999999999998,E-GAT,1900,0,4.633,15,test,GAT,rule_56,,test,0,easy,novel
13,13,13.0,13.0,13.0,13.0,13.0,13.0,,,0.0,0.18600000000000005,E-GAT,1900,0,4.898,15,test,Param,rule_56,,test,0,easy,novel
14,14,14.0,14.0,14.0,14.0,14.0,14.0,,,0.0,0.247,E-GAT,1900,0,4.388,15,test,GCN,rule_56,,test,0,easy,novel
15,15,15.0,15.0,15.0,15.0,15.0,15.0,,,0.0,0.23199999999999998,RGCN,1900,0,4.8,15,test,GAT,rule_56,,test,0,easy,novel
16,16,16.0,16.0,16.0,16.0,16.0,16.0,,,0.0,0.094,RGCN,1900,0,5.7929999999999975,15,test,Param,rule_56,,test,0,easy,novel
17,17,17.0,17.0,17.0,17.0,17.0,17.0,,,0.0,0.185,RGCN,1900,0,6.935,15,test,GCN,rule_56,,test,0,easy,novel
18,18,18.0,18.0,18.0,18.0,18.0,,,,0.0,0.23,E-GAT,1900,0,4.457,15,test,GAT,rule_54,,test,0,easy,novel
19,19,19.0,19.0,19.0,19.0,19.0,,,,0.0,0.159,E-GAT,1900,0,5.191,15,test,Param,rule_54,,test,0,easy,novel
20,20,20.0,20.0,20.0,20.0,20.0,,,,0.0,0.194,E-GAT,1900,0,3.985,15,test,GCN,rule_54,,test,0,easy,novel
21,21,21.0,21.0,21.0,21.0,21.0,,,,0.0,0.309,RGCN,1900,0,3.772,15,test,GAT,rule_54,,test,0,easy,novel
22,22,22.0,22.0,22.0,22.0,22.0,,,,0.0,0.142,RGCN,1900,0,5.032,15,test,Param,rule_54,,test,0,easy,novel
23,23,23.0,23.0,23.0,23.0,23.0,,,,0.0,0.267,RGCN,1900,0,4.739,15,test,GCN,rule_54,,test,0,easy,novel
24,24,24.0,24.0,24.0,24.0,,,,,0.0,0.17800000000000002,E-GAT,1900,0,4.7360000000000015,15,test,GAT,rule_55,,test,0,easy,novel
25,25,25.0,25.0,25.0,25.0,,,,,0.0,0.205,E-GAT,1900,0,4.908,15,test,Param,rule_55,,test,0,easy,novel
26,26,26.0,26.0,26.0,26.0,,,,,0.0,0.20800000000000002,E-GAT,1900,0,4.522,15,test,GCN,rule_55,,test,0,easy,novel
27,27,27.0,27.0,27.0,27.0,,,,,0.0,0.24,RGCN,1900,0,5.074,15,test,GAT,rule_55,,test,0,easy,novel
28,28,28.0,28.0,28.0,28.0,,,,,0.0,0.204,RGCN,1900,0,5.0169999999999995,15,test,Param,rule_55,,test,0,easy,novel
29,29,29.0,29.0,29.0,29.0,,,,,0.0,0.19399999999999998,RGCN,1900,0,8.494,15,test,GCN,rule_55,,test,0,easy,novel
30,30,30.0,30.0,30.0,,,,,,0.0,0.229,E-GAT,1900,0,4.633,15,test,GAT,rule_56,,test,0,easy,novel
31,31,31.0,31.0,31.0,,,,,,0.0,0.18600000000000005,E-GAT,1900,0,4.898,15,test,Param,rule_56,,test,0,easy,novel
32,32,32.0,32.0,32.0,,,,,,0.0,0.247,E-GAT,1900,0,4.388,15,test,GCN,rule_56,,test,0,easy,novel
33,33,33.0,33.0,33.0,,,,,,0.0,0.232,RGCN,1900,0,4.8,15,test,GAT,rule_56,,test,0,easy,novel
34,34,34.0,34.0,34.0,,,,,,0.0,0.094,RGCN,1900,0,5.7929999999999975,15,test,Param,rule_56,,test,0,easy,novel
35,35,35.0,35.0,35.0,,,,,,0.0,0.185,RGCN,1900,0,6.935,15,test,GCN,rule_56,,test,0,easy,novel
36,36,36.0,36.0,,,,,,,0.0,0.23,E-GAT,1900,0,4.457,15,test,GAT,rule_54,,test,0,easy,novel
37,37,37.0,37.0,,,,,,,0.0,0.159,E-GAT,1900,0,5.191,15,test,Param,rule_54,,test,0,easy,novel
38,38,38.0,38.0,,,,,,,0.0,0.19399999999999998,E-GAT,1900,0,3.985,15,test,GCN,rule_54,,test,0,easy,novel
39,39,39.0,39.0,,,,,,,0.0,0.309,RGCN,1900,0,3.772,15,test,GAT,rule_54,,test,0,easy,novel
40,40,40.0,40.0,,,,,,,0.0,0.142,RGCN,1900,0,5.032,15,test,Param,rule_54,,test,0,easy,novel
41,41,41.0,41.0,,,,,,,0.0,0.267,RGCN,1900,0,4.739,15,test,GCN,rule_54,,test,0,easy,novel
42,42,42.0,,,,,,,,0.0,0.17800000000000002,E-GAT,1900,0,4.7360000000000015,15,test,GAT,rule_55,,test,0,easy,novel
43,43,43.0,,,,,,,,0.0,0.205,E-GAT,1900,0,4.908,15,test,Param,rule_55,,test,0,easy,novel
44,44,44.0,,,,,,,,0.0,0.208,E-GAT,1900,0,4.522,15,test,GCN,rule_55,,test,0,easy,novel
45,45,45.0,,,,,,,,0.0,0.24,RGCN,1900,0,5.074,15,test,GAT,rule_55,,test,0,easy,novel
46,46,46.0,,,,,,,,0.0,0.204,RGCN,1900,0,5.017,15,test,Param,rule_55,,test,0,easy,novel
47,47,47.0,,,,,,,,0.0,0.194,RGCN,1900,0,8.494,15,test,GCN,rule_55,,test,0,easy,novel
48,48,,,,,,,,,0.0,0.22899999999999998,E-GAT,1900,0,4.633,15,test,GAT,rule_56,,test,0,easy,novel
