,rep_fn,comp_fn,mode,test_rule,updates,accuracy,minibatch,epoch,acc_std,loss,k,top_mode,rule_world
0,GAT,E-GAT,test,,0,0.595,0,4000,0.106,1.887,0,test,"rule_42,rule_33,rule_32,rule_28,rule_1,rule_18,rule_43,rule_34,rule_45,rule_19,rule_24,rule_20,rule_27,rule_50,rule_44,rule_8,rule_37,rule_35,rule_4,rule_15"
1,Param,E-GAT,test,,0,0.555,0,4000,0.099,2.079,0,test,"rule_42,rule_33,rule_32,rule_28,rule_1,rule_18,rule_43,rule_34,rule_45,rule_19,rule_24,rule_20,rule_27,rule_50,rule_44,rule_8,rule_37,rule_35,rule_4,rule_15"
2,GCN,E-GAT,test,,0,0.543,0,4000,0.077,2.021,0,test,"rule_42,rule_33,rule_32,rule_28,rule_1,rule_18,rule_43,rule_34,rule_45,rule_19,rule_24,rule_20,rule_27,rule_50,rule_44,rule_8,rule_37,rule_35,rule_4,rule_15"
3,GAT,RGCN,test,,0,0.512,0,4000,0.09,2.671,0,test,"rule_42,rule_33,rule_32,rule_28,rule_1,rule_18,rule_43,rule_34,rule_45,rule_19,rule_24,rule_20,rule_27,rule_50,rule_44,rule_8,rule_37,rule_35,rule_4,rule_15"
4,Param,RGCN,test,,0,0.446,0,4000,0.08,2.24,0,test,"rule_42,rule_33,rule_32,rule_28,rule_1,rule_18,rule_43,rule_34,rule_45,rule_19,rule_24,rule_20,rule_27,rule_50,rule_44,rule_8,rule_37,rule_35,rule_4,rule_15"
5,GCN,RGCN,test,,0,0.496,0,4000,0.091,3.233,0,test,"rule_42,rule_33,rule_32,rule_28,rule_1,rule_18,rule_43,rule_34,rule_45,rule_19,rule_24,rule_20,rule_27,rule_50,rule_44,rule_8,rule_37,rule_35,rule_4,rule_15"
