,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,acc_std,accuracy,comp_fn,epoch,k,loss,minibatch,mode,rep_fn,rule_world,test_rule,top_mode,updates,train_world,test_world
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,E-GAT,1900,0,3.9410000000000003,20,test,GAT,rule_54,,test,0,easy,novel
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.195,E-GAT,1900,0,4.4,20,test,Param,rule_54,,test,0,easy,novel
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.245,E-GAT,1900,0,3.5260000000000002,20,test,GCN,rule_54,,test,0,easy,novel
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.335,RGCN,1900,0,3.307,20,test,GAT,rule_54,,test,0,easy,novel
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.13699999999999998,RGCN,1900,0,4.4510000000000005,20,test,Param,rule_54,,test,0,easy,novel
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.332,RGCN,1900,0,4.302,20,test,GCN,rule_54,,test,0,easy,novel
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,0.0,0.218,E-GAT,1900,0,4.3439999999999985,20,test,GAT,rule_55,,test,0,easy,novel
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.0,0.234,E-GAT,1900,0,4.538,20,test,Param,rule_55,,test,0,easy,novel
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0.0,0.245,E-GAT,1900,0,4.3039999999999985,20,test,GCN,rule_55,,test,0,easy,novel
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,0.0,0.285,RGCN,1900,0,4.507,20,test,GAT,rule_55,,test,0,easy,novel
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,0.0,0.221,RGCN,1900,0,4.689,20,test,Param,rule_55,,test,0,easy,novel
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,0.0,0.26,RGCN,1900,0,7.457000000000002,20,test,GCN,rule_55,,test,0,easy,novel
12,12,12.0,12.0,12.0,12.0,12.0,12.0,,,0.0,0.295,E-GAT,1900,0,4.096,20,test,GAT,rule_56,,test,0,easy,novel
13,13,13.0,13.0,13.0,13.0,13.0,13.0,,,0.0,0.27,E-GAT,1900,0,4.359,20,test,Param,rule_56,,test,0,easy,novel
14,14,14.0,14.0,14.0,14.0,14.0,14.0,,,0.0,0.307,E-GAT,1900,0,3.9410000000000003,20,test,GCN,rule_56,,test,0,easy,novel
15,15,15.0,15.0,15.0,15.0,15.0,15.0,,,0.0,0.27899999999999997,RGCN,1900,0,4.215,20,test,GAT,rule_56,,test,0,easy,novel
16,16,16.0,16.0,16.0,16.0,16.0,16.0,,,0.0,0.10400000000000001,RGCN,1900,0,5.098,20,test,Param,rule_56,,test,0,easy,novel
17,17,17.0,17.0,17.0,17.0,17.0,17.0,,,0.0,0.21,RGCN,1900,0,6.093999999999999,20,test,GCN,rule_56,,test,0,easy,novel
18,18,18.0,18.0,18.0,18.0,18.0,,,,0.0,0.24,E-GAT,1900,0,3.941,20,test,GAT,rule_54,,test,0,easy,novel
19,19,19.0,19.0,19.0,19.0,19.0,,,,0.0,0.195,E-GAT,1900,0,4.4,20,test,Param,rule_54,,test,0,easy,novel
