,rep_fn,comp_fn,mode,test_rule,updates,accuracy,minibatch,epoch,acc_std,loss,k,top_mode,rule_world
0,GAT,E-GAT,test,,0,0.493,0,10000,0.116,2.187,0,test,"rule_30,rule_41,rule_10,rule_13,rule_48,rule_4,rule_44,rule_25,rule_6,rule_28,rule_42,rule_31,rule_3,rule_46,rule_29,rule_21,rule_45,rule_7,rule_24,rule_35,rule_50,rule_1,rule_47,rule_34,rule_20,rule_26,rule_40,rule_16,rule_23,rule_2,rule_11,rule_37,rule_5,rule_33,rule_36,rule_43,rule_9,rule_14,rule_49,rule_22,rule_15,rule_39,rule_32,rule_0,rule_27,rule_8,rule_18,rule_12,rule_17,rule_19"
1,Param,E-GAT,test,,0,0.463,0,10000,0.108,2.329,0,test,"rule_30,rule_41,rule_10,rule_13,rule_48,rule_4,rule_44,rule_25,rule_6,rule_28,rule_42,rule_31,rule_3,rule_46,rule_29,rule_21,rule_45,rule_7,rule_24,rule_35,rule_50,rule_1,rule_47,rule_34,rule_20,rule_26,rule_40,rule_16,rule_23,rule_2,rule_11,rule_37,rule_5,rule_33,rule_36,rule_43,rule_9,rule_14,rule_49,rule_22,rule_15,rule_39,rule_32,rule_0,rule_27,rule_8,rule_18,rule_12,rule_17,rule_19"
2,GCN,E-GAT,test,,0,0.484,0,10000,0.11,2.192,0,test,"rule_30,rule_41,rule_10,rule_13,rule_48,rule_4,rule_44,rule_25,rule_6,rule_28,rule_42,rule_31,rule_3,rule_46,rule_29,rule_21,rule_45,rule_7,rule_24,rule_35,rule_50,rule_1,rule_47,rule_34,rule_20,rule_26,rule_40,rule_16,rule_23,rule_2,rule_11,rule_37,rule_5,rule_33,rule_36,rule_43,rule_9,rule_14,rule_49,rule_22,rule_15,rule_39,rule_32,rule_0,rule_27,rule_8,rule_18,rule_12,rule_17,rule_19"
3,GAT,RGCN,test,,0,0.416,0,10000,0.105,2.88,0,test,"rule_30,rule_41,rule_10,rule_13,rule_48,rule_4,rule_44,rule_25,rule_6,rule_28,rule_42,rule_31,rule_3,rule_46,rule_29,rule_21,rule_45,rule_7,rule_24,rule_35,rule_50,rule_1,rule_47,rule_34,rule_20,rule_26,rule_40,rule_16,rule_23,rule_2,rule_11,rule_37,rule_5,rule_33,rule_36,rule_43,rule_9,rule_14,rule_49,rule_22,rule_15,rule_39,rule_32,rule_0,rule_27,rule_8,rule_18,rule_12,rule_17,rule_19"
4,Param,RGCN,test,,0,0.385,0,10000,0.097,2.51,0,test,"rule_30,rule_41,rule_10,rule_13,rule_48,rule_4,rule_44,rule_25,rule_6,rule_28,rule_42,rule_31,rule_3,rule_46,rule_29,rule_21,rule_45,rule_7,rule_24,rule_35,rule_50,rule_1,rule_47,rule_34,rule_20,rule_26,rule_40,rule_16,rule_23,rule_2,rule_11,rule_37,rule_5,rule_33,rule_36,rule_43,rule_9,rule_14,rule_49,rule_22,rule_15,rule_39,rule_32,rule_0,rule_27,rule_8,rule_18,rule_12,rule_17,rule_19"
5,GCN,RGCN,test,,0,0.405,0,10000,0.102,3.335,0,test,"rule_30,rule_41,rule_10,rule_13,rule_48,rule_4,rule_44,rule_25,rule_6,rule_28,rule_42,rule_31,rule_3,rule_46,rule_29,rule_21,rule_45,rule_7,rule_24,rule_35,rule_50,rule_1,rule_47,rule_34,rule_20,rule_26,rule_40,rule_16,rule_23,rule_2,rule_11,rule_37,rule_5,rule_33,rule_36,rule_43,rule_9,rule_14,rule_49,rule_22,rule_15,rule_39,rule_32,rule_0,rule_27,rule_8,rule_18,rule_12,rule_17,rule_19"
