,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,acc_std,accuracy,comp_fn,epoch,k,loss,minibatch,mode,rep_fn,rule_world,test_rule,top_mode,updates,train_world,test_world
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312,E-GAT,1900,0,3.236,30,test,GAT,rule_54,,test,0,easy,novel
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.268,E-GAT,1900,0,3.635,30,test,Param,rule_54,,test,0,easy,novel
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.342,E-GAT,1900,0,2.991,30,test,GCN,rule_54,,test,0,easy,novel
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.39299999999999996,RGCN,1900,0,2.803,30,test,GAT,rule_54,,test,0,easy,novel
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.175,RGCN,1900,0,3.6260000000000003,30,test,Param,rule_54,,test,0,easy,novel
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.35,RGCN,1900,0,4.013999999999999,30,test,GCN,rule_54,,test,0,easy,novel
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,0.0,0.292,E-GAT,1900,0,3.76,30,test,GAT,rule_55,,test,0,easy,novel
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.0,0.278,E-GAT,1900,0,3.891,30,test,Param,rule_55,,test,0,easy,novel
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0.0,0.276,E-GAT,1900,0,3.923,30,test,GCN,rule_55,,test,0,easy,novel
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,0.0,0.374,RGCN,1900,0,3.644,30,test,GAT,rule_55,,test,0,easy,novel
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,0.0,0.261,RGCN,1900,0,4.17,30,test,Param,rule_55,,test,0,easy,novel
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,0.0,0.292,RGCN,1900,0,6.629,30,test,GCN,rule_55,,test,0,easy,novel
12,12,12.0,12.0,12.0,12.0,12.0,12.0,,,0.0,0.366,E-GAT,1900,0,3.344,30,test,GAT,rule_56,,test,0,easy,novel
13,13,13.0,13.0,13.0,13.0,13.0,13.0,,,0.0,0.33399999999999996,E-GAT,1900,0,3.535,30,test,Param,rule_56,,test,0,easy,novel
14,14,14.0,14.0,14.0,14.0,14.0,14.0,,,0.0,0.371,E-GAT,1900,0,3.404,30,test,GCN,rule_56,,test,0,easy,novel
15,15,15.0,15.0,15.0,15.0,15.0,15.0,,,0.0,0.33799999999999997,RGCN,1900,0,3.685,30,test,GAT,rule_56,,test,0,easy,novel
16,16,16.0,16.0,16.0,16.0,16.0,16.0,,,0.0,0.14300000000000002,RGCN,1900,0,4.053,30,test,Param,rule_56,,test,0,easy,novel
17,17,17.0,17.0,17.0,17.0,17.0,17.0,,,0.0,0.247,RGCN,1900,0,5.46,30,test,GCN,rule_56,,test,0,easy,novel
18,18,18.0,18.0,18.0,18.0,18.0,,,,0.0,0.312,E-GAT,1900,0,3.236,30,test,GAT,rule_54,,test,0,easy,novel
19,19,19.0,19.0,19.0,19.0,19.0,,,,0.0,0.268,E-GAT,1900,0,3.635,30,test,Param,rule_54,,test,0,easy,novel
20,20,20.0,20.0,20.0,20.0,20.0,,,,0.0,0.342,E-GAT,1900,0,2.991,30,test,GCN,rule_54,,test,0,easy,novel
21,21,21.0,21.0,21.0,21.0,21.0,,,,0.0,0.393,RGCN,1900,0,2.803,30,test,GAT,rule_54,,test,0,easy,novel
22,22,22.0,22.0,22.0,22.0,22.0,,,,0.0,0.175,RGCN,1900,0,3.626,30,test,Param,rule_54,,test,0,easy,novel
23,23,23.0,23.0,23.0,23.0,23.0,,,,0.0,0.35,RGCN,1900,0,4.0139999999999985,30,test,GCN,rule_54,,test,0,easy,novel
24,24,24.0,24.0,24.0,24.0,,,,,0.0,0.29,E-GAT,1900,0,3.76,30,test,GAT,rule_55,,test,0,easy,novel
25,25,25.0,25.0,25.0,25.0,,,,,0.0,0.278,E-GAT,1900,0,3.891,30,test,Param,rule_55,,test,0,easy,novel
26,26,26.0,26.0,26.0,26.0,,,,,0.0,0.276,E-GAT,1900,0,3.923,30,test,GCN,rule_55,,test,0,easy,novel
27,27,27.0,27.0,27.0,27.0,,,,,0.0,0.374,RGCN,1900,0,3.6430000000000002,30,test,GAT,rule_55,,test,0,easy,novel
28,28,28.0,28.0,28.0,28.0,,,,,0.0,0.261,RGCN,1900,0,4.17,30,test,Param,rule_55,,test,0,easy,novel
29,29,29.0,29.0,29.0,29.0,,,,,0.0,0.292,RGCN,1900,0,6.629,30,test,GCN,rule_55,,test,0,easy,novel
30,30,30.0,30.0,30.0,,,,,,0.0,0.368,E-GAT,1900,0,3.342,30,test,GAT,rule_56,,test,0,easy,novel
31,31,31.0,31.0,31.0,,,,,,0.0,0.335,E-GAT,1900,0,3.535,30,test,Param,rule_56,,test,0,easy,novel
32,32,32.0,32.0,32.0,,,,,,0.0,0.371,E-GAT,1900,0,3.403,30,test,GCN,rule_56,,test,0,easy,novel
33,33,33.0,33.0,33.0,,,,,,0.0,0.338,RGCN,1900,0,3.685,30,test,GAT,rule_56,,test,0,easy,novel
34,34,34.0,34.0,34.0,,,,,,0.0,0.14300000000000002,RGCN,1900,0,4.053,30,test,Param,rule_56,,test,0,easy,novel
35,35,35.0,35.0,35.0,,,,,,0.0,0.247,RGCN,1900,0,5.46,30,test,GCN,rule_56,,test,0,easy,novel
36,36,36.0,36.0,,,,,,,0.0,0.312,E-GAT,1900,0,3.236,30,test,GAT,rule_54,,test,0,easy,novel
37,37,37.0,37.0,,,,,,,0.0,0.268,E-GAT,1900,0,3.635,30,test,Param,rule_54,,test,0,easy,novel
38,38,38.0,38.0,,,,,,,0.0,0.342,E-GAT,1900,0,2.991,30,test,GCN,rule_54,,test,0,easy,novel
39,39,39.0,39.0,,,,,,,0.0,0.39299999999999996,RGCN,1900,0,2.803,30,test,GAT,rule_54,,test,0,easy,novel
40,40,40.0,40.0,,,,,,,0.0,0.175,RGCN,1900,0,3.6260000000000003,30,test,Param,rule_54,,test,0,easy,novel
41,41,41.0,41.0,,,,,,,0.0,0.35,RGCN,1900,0,4.013999999999999,30,test,GCN,rule_54,,test,0,easy,novel
42,42,42.0,,,,,,,,0.0,0.292,E-GAT,1900,0,3.761,30,test,GAT,rule_55,,test,0,easy,novel
43,43,43.0,,,,,,,,0.0,0.278,E-GAT,1900,0,3.891,30,test,Param,rule_55,,test,0,easy,novel
44,44,44.0,,,,,,,,0.0,0.274,E-GAT,1900,0,3.923,30,test,GCN,rule_55,,test,0,easy,novel
45,45,45.0,,,,,,,,0.0,0.374,RGCN,1900,0,3.643,30,test,GAT,rule_55,,test,0,easy,novel
46,46,46.0,,,,,,,,0.0,0.261,RGCN,1900,0,4.17,30,test,Param,rule_55,,test,0,easy,novel
47,47,47.0,,,,,,,,0.0,0.292,RGCN,1900,0,6.629,30,test,GCN,rule_55,,test,0,easy,novel
48,48,,,,,,,,,0.0,0.368,E-GAT,1900,0,3.341,30,test,GAT,rule_56,,test,0,easy,novel
49,49,,,,,,,,,0.0,0.335,E-GAT,1900,0,3.535,30,test,Param,rule_56,,test,0,easy,novel
50,50,,,,,,,,,0.0,0.371,E-GAT,1900,0,3.404,30,test,GCN,rule_56,,test,0,easy,novel
51,51,,,,,,,,,0.0,0.33799999999999997,RGCN,1900,0,3.685,30,test,GAT,rule_56,,test,0,easy,novel
52,52,,,,,,,,,0.0,0.14300000000000002,RGCN,1900,0,4.053,30,test,Param,rule_56,,test,0,easy,novel
53,53,,,,,,,,,0.0,0.247,RGCN,1900,0,5.46,30,test,GCN,rule_56,,test,0,easy,novel
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40299999999999997,E-GAT,1900,0,2.728,30,test,GAT,rule_54,,test,0,medium,novel
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.349,E-GAT,1900,0,2.784,30,test,Param,rule_54,,test,0,medium,novel
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.35700000000000004,E-GAT,1900,0,2.512,30,test,GCN,rule_54,,test,0,medium,novel
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.41200000000000003,RGCN,1900,0,2.728,30,test,GAT,rule_54,,test,0,medium,novel
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.191,RGCN,1900,0,3.802,30,test,Param,rule_54,,test,0,medium,novel
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.401,RGCN,1900,0,3.866,30,test,GCN,rule_54,,test,0,medium,novel
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,0.0,0.276,E-GAT,1900,0,4.037,30,test,GAT,rule_55,,test,0,medium,novel
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.0,0.245,E-GAT,1900,0,3.978,30,test,Param,rule_55,,test,0,medium,novel
