,rep_fn,comp_fn,mode,test_rule,updates,accuracy,minibatch,epoch,acc_std,loss,k,top_mode,rule_world
0,GAT,E-GAT,test,,0,0.526,0,8000,0.119,2.067,0,test,"rule_43,rule_16,rule_38,rule_45,rule_48,rule_30,rule_36,rule_26,rule_8,rule_33,rule_18,rule_42,rule_15,rule_1,rule_7,rule_24,rule_27,rule_10,rule_44,rule_34,rule_50,rule_31,rule_25,rule_17,rule_19,rule_46,rule_23,rule_32,rule_3,rule_13,rule_11,rule_21,rule_37,rule_12,rule_22,rule_49,rule_5,rule_9,rule_39,rule_2"
1,Param,E-GAT,test,,0,0.491,0,8000,0.111,2.27,0,test,"rule_43,rule_16,rule_38,rule_45,rule_48,rule_30,rule_36,rule_26,rule_8,rule_33,rule_18,rule_42,rule_15,rule_1,rule_7,rule_24,rule_27,rule_10,rule_44,rule_34,rule_50,rule_31,rule_25,rule_17,rule_19,rule_46,rule_23,rule_32,rule_3,rule_13,rule_11,rule_21,rule_37,rule_12,rule_22,rule_49,rule_5,rule_9,rule_39,rule_2"
2,GCN,E-GAT,test,,0,0.505,0,8000,0.107,2.192,0,test,"rule_43,rule_16,rule_38,rule_45,rule_48,rule_30,rule_36,rule_26,rule_8,rule_33,rule_18,rule_42,rule_15,rule_1,rule_7,rule_24,rule_27,rule_10,rule_44,rule_34,rule_50,rule_31,rule_25,rule_17,rule_19,rule_46,rule_23,rule_32,rule_3,rule_13,rule_11,rule_21,rule_37,rule_12,rule_22,rule_49,rule_5,rule_9,rule_39,rule_2"
3,GAT,RGCN,test,,0,0.437,0,8000,0.108,2.771,0,test,"rule_43,rule_16,rule_38,rule_45,rule_48,rule_30,rule_36,rule_26,rule_8,rule_33,rule_18,rule_42,rule_15,rule_1,rule_7,rule_24,rule_27,rule_10,rule_44,rule_34,rule_50,rule_31,rule_25,rule_17,rule_19,rule_46,rule_23,rule_32,rule_3,rule_13,rule_11,rule_21,rule_37,rule_12,rule_22,rule_49,rule_5,rule_9,rule_39,rule_2"
4,Param,RGCN,test,,0,0.397,0,8000,0.108,2.475,0,test,"rule_43,rule_16,rule_38,rule_45,rule_48,rule_30,rule_36,rule_26,rule_8,rule_33,rule_18,rule_42,rule_15,rule_1,rule_7,rule_24,rule_27,rule_10,rule_44,rule_34,rule_50,rule_31,rule_25,rule_17,rule_19,rule_46,rule_23,rule_32,rule_3,rule_13,rule_11,rule_21,rule_37,rule_12,rule_22,rule_49,rule_5,rule_9,rule_39,rule_2"
5,GCN,RGCN,test,,0,0.421,0,8000,0.112,3.448,0,test,"rule_43,rule_16,rule_38,rule_45,rule_48,rule_30,rule_36,rule_26,rule_8,rule_33,rule_18,rule_42,rule_15,rule_1,rule_7,rule_24,rule_27,rule_10,rule_44,rule_34,rule_50,rule_31,rule_25,rule_17,rule_19,rule_46,rule_23,rule_32,rule_3,rule_13,rule_11,rule_21,rule_37,rule_12,rule_22,rule_49,rule_5,rule_9,rule_39,rule_2"
