,rep_fn,comp_fn,mode,test_rule,updates,accuracy,minibatch,epoch,acc_std,loss,k,top_mode,rule_world
0,GAT,E-GAT,test,,0,0.573,0,6000,0.132,2.026,0,test,"rule_3,rule_6,rule_48,rule_38,rule_21,rule_35,rule_5,rule_45,rule_40,rule_16,rule_27,rule_44,rule_31,rule_12,rule_36,rule_46,rule_49,rule_7,rule_20,rule_1,rule_47,rule_29,rule_4,rule_42,rule_28,rule_43,rule_34,rule_33,rule_37,rule_15"
1,Param,E-GAT,test,,0,0.498,0,6000,0.12,2.344,0,test,"rule_3,rule_6,rule_48,rule_38,rule_21,rule_35,rule_5,rule_45,rule_40,rule_16,rule_27,rule_44,rule_31,rule_12,rule_36,rule_46,rule_49,rule_7,rule_20,rule_1,rule_47,rule_29,rule_4,rule_42,rule_28,rule_43,rule_34,rule_33,rule_37,rule_15"
2,GCN,E-GAT,test,,0,0.523,0,6000,0.109,2.237,0,test,"rule_3,rule_6,rule_48,rule_38,rule_21,rule_35,rule_5,rule_45,rule_40,rule_16,rule_27,rule_44,rule_31,rule_12,rule_36,rule_46,rule_49,rule_7,rule_20,rule_1,rule_47,rule_29,rule_4,rule_42,rule_28,rule_43,rule_34,rule_33,rule_37,rule_15"
3,GAT,RGCN,test,,0,0.485,0,6000,0.105,2.714,0,test,"rule_3,rule_6,rule_48,rule_38,rule_21,rule_35,rule_5,rule_45,rule_40,rule_16,rule_27,rule_44,rule_31,rule_12,rule_36,rule_46,rule_49,rule_7,rule_20,rule_1,rule_47,rule_29,rule_4,rule_42,rule_28,rule_43,rule_34,rule_33,rule_37,rule_15"
4,Param,RGCN,test,,0,0.424,0,6000,0.097,2.296,0,test,"rule_3,rule_6,rule_48,rule_38,rule_21,rule_35,rule_5,rule_45,rule_40,rule_16,rule_27,rule_44,rule_31,rule_12,rule_36,rule_46,rule_49,rule_7,rule_20,rule_1,rule_47,rule_29,rule_4,rule_42,rule_28,rule_43,rule_34,rule_33,rule_37,rule_15"
5,GCN,RGCN,test,,0,0.446,0,6000,0.116,3.429,0,test,"rule_3,rule_6,rule_48,rule_38,rule_21,rule_35,rule_5,rule_45,rule_40,rule_16,rule_27,rule_44,rule_31,rule_12,rule_36,rule_46,rule_49,rule_7,rule_20,rule_1,rule_47,rule_29,rule_4,rule_42,rule_28,rule_43,rule_34,rule_33,rule_37,rule_15"
