,world_id,world_id_num,num_class,ND,Average Resolution Length,Split,Average Nodes,Average Edges,nodes-std,edges-std,edge_to_noise_ratio,GAT-E-GAT,GCN-E-GAT,Param-E-GAT,GAT-RGCN,GCN-RGCN,Param-RGCN,Difficulty,best
0,rule_49,49,14,169,3.41,train,9.983,11.177,6.07,8.57,0.3053464384769744,0.714,0.734,0.7,0.511,0.491,0.615,Easy,M2
1,rule_39,39,15,182,3.98,train,12.552,14.8,9.43,13.54,0.26924710424710424,0.737,0.642,0.635,0.592,0.603,0.587,Easy,M1
2,rule_13,13,16,149,3.58,train,11.238,13.549,7.13,10.87,0.26397309237371236,0.453,0.402,0.419,0.347,0.298,0.344,Hard,M1
3,rule_32,32,16,287,4.66,train,16.27,20.929,12.68,19.0,0.22258247271386938,0.674,0.671,0.7,0.621,0.594,0.615,Medium,M3
4,rule_45,45,15,151,3.39,train,9.127,10.001,5.29,7.57,0.3386089962432329,0.569,0.58,0.592,0.535,0.524,0.524,Medium,M3
5,rule_12,12,15,306,4.14,train,11.238,12.919,6.4,9.3,0.32051352935322286,0.771,0.726,0.603,0.511,0.561,0.523,Easy,M1
6,rule_21,21,13,272,4.58,train,10.559,11.754,5.65,8.09,0.3893142759911519,0.621,0.61,0.632,0.531,0.516,0.58,Medium,M3
7,rule_40,40,17,181,3.69,train,11.556,14.437,8.59,13.81,0.25559326729930043,0.552,0.584,0.575,0.525,0.472,0.479,Medium,M2
8,rule_41,41,15,113,3.58,train,10.162,11.553,7.31,10.33,0.30977729965005996,0.619,0.601,0.626,0.49,0.468,0.47,Medium,M3
9,rule_7,7,17,288,4.47,train,13.161,16.333,9.32,13.96,0.2734516447857537,0.613,0.558,0.598,0.487,0.486,0.537,Medium,M1
10,rule_34,34,18,504,5.0,train,15.345,18.614,11.61,16.12,0.26886061182827053,0.908,0.888,0.906,0.768,0.762,0.811,Easy,M1
11,rule_14,14,16,224,4.14,train,11.371,13.403,7.29,10.6,0.30892870466100336,0.448,0.457,0.401,0.314,0.318,0.332,Hard,M2
12,rule_35,35,19,979,6.23,train,21.867,28.266,12.1,17.66,0.22035560137873875,0.831,0.75,0.782,0.68,0.7,0.662,Easy,M1
13,rule_43,43,16,162,3.36,train,11.077,13.337,7.09,10.72,0.2518343169913988,0.622,0.567,0.579,0.473,0.482,0.437,Medium,M1
14,rule_0,0,17,286,4.49,train,15.487,19.295,12.37,18.16,0.23248065746122235,0.481,0.5,0.494,0.486,0.462,0.462,Hard,M2
15,rule_29,29,16,144,3.87,train,10.193,11.774,7.15,10.47,0.32881166735421874,0.468,0.445,0.475,0.325,0.336,0.389,Hard,M3
16,rule_38,38,17,568,5.21,train,15.305,20.075,10.53,16.41,0.2594271481942715,0.748,0.762,0.733,0.644,0.63,0.719,Easy,M2
17,rule_22,22,17,422,5.21,train,16.54,20.681,12.07,17.47,0.25214309891066333,0.586,0.593,0.628,0.53,0.506,0.573,Medium,M3
18,rule_23,23,15,383,4.97,train,17.067,21.111,12.12,17.12,0.23562530028353532,0.508,0.522,0.493,0.455,0.473,0.476,Hard,M2
19,rule_9,9,19,1011,7.22,train,24.151,32.668,12.85,19.66,0.22086270531231963,0.758,0.744,0.739,0.683,0.651,0.623,Easy,M1
20,rule_42,42,14,95,2.96,train,8.939,9.751,5.25,7.46,0.3037344155178224,0.511,0.472,0.483,0.386,0.393,0.395,Hard,M1
21,rule_2,2,17,157,3.21,train,9.809,11.165,6.11,8.92,0.28742882733030517,0.412,0.357,0.373,0.347,0.347,0.319,Hard,M1
22,rule_33,33,18,312,4.5,train,14.738,18.266,8.97,13.12,0.2463828189767093,0.695,0.66,0.709,0.71,0.679,0.668,Medium,M4
23,rule_50,50,16,286,3.99,train,12.274,16.117,7.82,13.52,0.24736968063889944,0.651,0.653,0.656,0.555,0.583,0.57,Medium,M3
24,rule_5,5,14,275,4.41,train,14.545,18.872,9.21,14.33,0.23361139708108764,0.526,0.539,0.548,0.429,0.461,0.455,Hard,M3
25,rule_46,46,19,2704,7.94,train,31.458,43.489,13.71,21.77,0.18250592103750377,0.85,0.82,0.828,0.773,0.762,0.749,Easy,M1
26,rule_48,48,16,978,6.15,train,17.802,21.674,11.38,15.89,0.2838489829815843,0.812,0.798,0.812,0.772,0.763,0.753,Easy,M1
27,rule_37,37,17,260,4.0,train,11.956,14.01,7.64,11.03,0.2851636586111961,0.843,0.826,0.826,0.673,0.698,0.716,Easy,M1
