,world_id,world_id_num,num_class,ND,Average Resolution Length,Split,Average Nodes,Average Edges,nodes-std,edges-std,edge_to_noise_ratio,GAT-E-GAT,GCN-E-GAT,Param-E-GAT,GAT-RGCN,GCN-RGCN,Param-RGCN,Difficulty,best
28,rule_16,16,16,205,3.59,train,11.345,13.293,7.23,10.3,0.2700991929157129,0.318,0.332,0.292,0.328,0.306,0.291,Hard,M2
29,rule_44,44,18,705,4.75,train,15.31,18.172,9.73,13.25,0.26112386402943305,0.538,0.561,0.603,0.498,0.519,0.45,Hard,M3
30,rule_28,28,16,391,4.82,train,17.551,21.897,11.65,16.4,0.22015409808258146,0.575,0.564,0.571,0.503,0.499,0.552,Medium,M1
31,rule_19,19,16,416,6.1,train,17.18,20.818,11.07,15.44,0.2929401753976641,0.79,0.774,0.777,0.731,0.729,0.702,Easy,M1
32,rule_4,4,16,189,3.94,train,12.622,15.501,8.24,12.43,0.2540389099320781,0.624,0.606,0.619,0.475,0.481,0.595,Medium,M1
33,rule_15,15,14,224,3.82,train,12.661,15.105,7.56,10.79,0.25289639192320423,0.494,0.423,0.501,0.402,0.397,0.435,Hard,M3
34,rule_3,3,16,189,3.63,train,11.137,13.273,6.09,9.17,0.27364897590166937,0.429,0.404,0.473,0.373,0.401,0.451,Hard,M3
35,rule_1,1,15,239,4.1,train,11.565,13.615,7.62,11.16,0.30101253869156913,0.432,0.411,0.428,0.406,0.4,0.408,Hard,M1
36,rule_6,6,16,249,5.06,train,16.257,20.164,11.62,16.55,0.25116190098336494,0.528,0.514,0.536,0.498,0.495,0.476,Hard,M3
37,rule_17,17,17,147,3.16,train,8.163,8.894,4.33,6.17,0.35553663786180084,0.347,0.308,0.274,0.164,0.161,0.181,Hard,M1
38,rule_25,25,15,278,3.84,train,11.093,12.775,6.79,9.26,0.3002404249370981,0.424,0.419,0.382,0.358,0.345,0.412,Hard,M1
39,rule_47,47,18,647,6.66,train,22.139,27.789,12.39,17.74,0.23967859841766784,0.723,0.667,0.708,0.62,0.649,0.611,Easy,M1
40,rule_31,31,19,916,5.9,train,20.147,26.562,12.29,18.5,0.22221863672055672,0.788,0.789,0.77,0.669,0.674,0.641,Easy,M2
41,rule_10,10,18,524,5.87,train,18.011,22.202,10.94,15.43,0.26454502168401817,0.656,0.654,0.663,0.596,0.563,0.605,Medium,M3
42,rule_11,11,17,194,4.29,train,11.459,13.037,6.94,9.8,0.3287127844924884,0.552,0.525,0.533,0.445,0.456,0.419,Medium,M1
43,rule_26,26,15,352,4.71,train,14.157,17.115,10.36,14.9,0.2754893368390301,0.565,0.534,0.532,0.466,0.461,0.499,Medium,M1
44,rule_8,8,15,404,5.43,train,15.997,19.134,10.28,14.17,0.2840418701190103,0.627,0.643,0.629,0.523,0.563,0.569,Medium,M2
45,rule_30,30,17,177,3.51,train,10.27,11.764,6.14,8.81,0.29873220964686453,0.381,0.426,0.382,0.357,0.316,0.336,Hard,M2
46,rule_24,24,18,879,6.33,train,21.402,26.152,12.14,16.35,0.24216667395009392,0.706,0.704,0.743,0.656,0.641,0.638,Easy,M3
47,rule_36,36,19,252,4.66,train,13.9,16.613,8.68,12.36,0.280253845955405,0.742,0.698,0.698,0.659,0.627,0.651,Easy,M1
48,rule_18,18,18,923,6.63,train,25.035,33.08,13.97,21.07,0.20037139402314735,0.7,0.68,0.713,0.65,0.641,0.618,Easy,M3
49,rule_20,20,20,2024,8.63,train,34.059,45.985,12.04,18.71,0.18764814613460912,0.83,0.799,0.854,0.756,0.741,0.75,Easy,M3
50,rule_27,27,16,393,4.98,train,14.296,16.499,8.4,11.22,0.30155074333509396,0.713,0.714,0.722,0.632,0.604,0.647,Easy,M3
51,rule_51,51,16,332,4.44,valid,16.384,21.817,10.93,17.18,0.20360269514598708,0.746,0.742,0.738,0.667,0.657,0.689,Easy,M1
52,rule_52,52,17,351,4.81,valid,16.231,20.613,10.89,16.36,0.23358352218780104,0.697,0.716,0.754,0.653,0.655,0.67,Medium,M3
53,rule_53,53,15,165,3.65,valid,10.838,12.378,6.3,9.0,0.29497033908085774,0.458,0.464,0.525,0.334,0.364,0.373,Hard,M3
54,rule_54,54,13,303,5.25,test,13.503,15.567,7.98,11.11,0.33701327900595585,0.638,0.623,0.603,0.587,0.586,0.555,Medium,M1
55,rule_55,55,16,293,4.83,test,16.444,20.944,9.94,14.45,0.23046491323802248,0.625,0.582,0.578,0.561,0.528,0.571,Medium,M1
56,rule_56,56,15,241,4.4,test,14.01,16.702,9.4,13.18,0.2637237627657936,0.653,0.681,0.692,0.522,0.513,0.55,Medium,M3
