,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,acc_std,accuracy,comp_fn,epoch,k,loss,minibatch,mode,rep_fn,rule_world,test_rule,top_mode,updates,train_world,test_world
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17800000000000002,E-GAT,1900,0,5.169,10,test,GAT,rule_54,,test,0,easy,novel
1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.129,E-GAT,1900,0,6.112,10,test,Param,rule_54,,test,0,easy,novel
2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.142,E-GAT,1900,0,4.796,10,test,GCN,rule_54,,test,0,easy,novel
3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.263,RGCN,1900,0,4.456,10,test,GAT,rule_54,,test,0,easy,novel
4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.11699999999999999,RGCN,1900,0,5.847,10,test,Param,rule_54,,test,0,easy,novel
5,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.20199999999999999,RGCN,1900,0,6.064,10,test,GCN,rule_54,,test,0,easy,novel
6,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,0.0,0.14400000000000002,E-GAT,1900,0,5.351,10,test,GAT,rule_55,,test,0,easy,novel
7,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,0.0,0.165,E-GAT,1900,0,5.452000000000001,10,test,Param,rule_55,,test,0,easy,novel
8,8,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,0.0,0.165,E-GAT,1900,0,5.1,10,test,GCN,rule_55,,test,0,easy,novel
9,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,0.0,0.208,RGCN,1900,0,5.711,10,test,GAT,rule_55,,test,0,easy,novel
10,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,0.0,0.173,RGCN,1900,0,5.409,10,test,Param,rule_55,,test,0,easy,novel
11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,0.0,0.165,RGCN,1900,0,9.448,10,test,GCN,rule_55,,test,0,easy,novel
12,12,12.0,12.0,12.0,12.0,12.0,12.0,,,0.0,0.15,E-GAT,1900,0,5.4860000000000015,10,test,GAT,rule_56,,test,0,easy,novel
13,13,13.0,13.0,13.0,13.0,13.0,13.0,,,0.0,0.10400000000000001,E-GAT,1900,0,5.644,10,test,Param,rule_56,,test,0,easy,novel
14,14,14.0,14.0,14.0,14.0,14.0,14.0,,,0.0,0.156,E-GAT,1900,0,5.135,10,test,GCN,rule_56,,test,0,easy,novel
15,15,15.0,15.0,15.0,15.0,15.0,15.0,,,0.0,0.188,RGCN,1900,0,5.756,10,test,GAT,rule_56,,test,0,easy,novel
16,16,16.0,16.0,16.0,16.0,16.0,16.0,,,0.0,0.078,RGCN,1900,0,6.722,10,test,Param,rule_56,,test,0,easy,novel
17,17,17.0,17.0,17.0,17.0,17.0,17.0,,,0.0,0.14,RGCN,1900,0,8.585,10,test,GCN,rule_56,,test,0,easy,novel
18,18,18.0,18.0,18.0,18.0,18.0,,,,0.0,0.17800000000000002,E-GAT,1900,0,5.169,10,test,GAT,rule_54,,test,0,easy,novel
19,19,19.0,19.0,19.0,19.0,19.0,,,,0.0,0.129,E-GAT,1900,0,6.112,10,test,Param,rule_54,,test,0,easy,novel
20,20,20.0,20.0,20.0,20.0,20.0,,,,0.0,0.142,E-GAT,1900,0,4.796,10,test,GCN,rule_54,,test,0,easy,novel
21,21,21.0,21.0,21.0,21.0,21.0,,,,0.0,0.263,RGCN,1900,0,4.456,10,test,GAT,rule_54,,test,0,easy,novel
22,22,22.0,22.0,22.0,22.0,22.0,,,,0.0,0.117,RGCN,1900,0,5.847,10,test,Param,rule_54,,test,0,easy,novel
23,23,23.0,23.0,23.0,23.0,23.0,,,,0.0,0.202,RGCN,1900,0,6.064,10,test,GCN,rule_54,,test,0,easy,novel
